ZIP Code,count
0,2
60601,3
60602,1
60603,2
60604,2
60605,19
60606,2
60607,130
60608,753
60609,893
60610,78
60611,10
60612,329
60613,178
60614,329
60615,181
60616,274
60617,1742
60618,1142
60619,1302
60620,1389
60621,448
60622,605
60623,905
60624,430
60625,635
60626,243
60628,1856
60629,1990
60630,672
60631,402
60632,1018
60633,210
60634,1238
60636,697
60637,572
60638,1444
60639,947
60640,341
60641,689
60642,116
60643,1000
60644,629
60645,386
60646,319
60647,816
60649,609
60651,1409
60652,735
60653,394
60654,18
60655,278
60656,395
60657,436
60659,364
60660,148
60661,6
60707,191
60827,27
