Response Time,count
0 days,4377
1 days,1631
2 days,918
3 days,692
4 days,603
5 days,542
6 days,518
7 days,524
8 days,500
9 days,403
10 days,349
11 days,314
12 days,332
13 days,317
14 days,321
15 days,300
16 days,297
17 days,215
18 days,188
19 days,198
20 days,208
21 days,222
22 days,218
23 days,205
24 days,161
25 days,171
26 days,151
27 days,174
28 days,192
29 days,171
30 days,198
31 days,166
32 days,145
33 days,163
34 days,150
35 days,153
36 days,174
37 days,135
38 days,147
39 days,133
40 days,137
41 days,137
42 days,144
43 days,139
44 days,123
45 days,120
46 days,102
47 days,109
48 days,120
49 days,118
50 days,131
51 days,111
52 days,112
53 days,83
54 days,102
55 days,91
56 days,105
57 days,115
58 days,111
59 days,105
60 days,97
61 days,67
62 days,62
63 days,95
64 days,87
65 days,80
66 days,75
67 days,74
68 days,59
69 days,76
70 days,81
71 days,79
72 days,78
73 days,64
74 days,74
75 days,63
76 days,66
77 days,65
78 days,65
79 days,60
80 days,62
81 days,61
82 days,44
83 days,60
84 days,61
85 days,60
86 days,55
87 days,64
88 days,45
89 days,65
90 days,56
91 days,42
92 days,48
93 days,51
94 days,44
95 days,31
96 days,61
97 days,51
98 days,47
99 days,49
100 days,36
101 days,33
102 days,31
103 days,42
104 days,27
105 days,58
106 days,36
107 days,43
108 days,39
109 days,26
110 days,48
111 days,32
112 days,42
113 days,30
114 days,27
115 days,21
116 days,29
117 days,27
118 days,33
119 days,39
120 days,33
121 days,23
122 days,34
123 days,27
124 days,32
125 days,17
126 days,23
127 days,31
128 days,37
129 days,22
130 days,22
131 days,25
132 days,20
133 days,23
134 days,22
135 days,34
136 days,28
137 days,16
138 days,17
139 days,10
140 days,27
141 days,28
142 days,24
143 days,21
144 days,14
145 days,18
146 days,22
147 days,21
148 days,18
149 days,19
150 days,12
151 days,13
152 days,13
153 days,12
154 days,16
155 days,19
156 days,32
157 days,19
158 days,15
159 days,11
160 days,17
161 days,11
162 days,24
163 days,25
164 days,11
165 days,6
166 days,15
167 days,12
168 days,14
169 days,16
170 days,4
171 days,11
172 days,13
173 days,8
174 days,14
175 days,17
176 days,10
177 days,10
178 days,7
179 days,5
180 days,12
181 days,8
182 days,9
183 days,11
184 days,8
185 days,9
186 days,1
187 days,5
188 days,4
189 days,4
190 days,7
191 days,8
192 days,5
193 days,5
194 days,8
195 days,5
196 days,8
197 days,10
198 days,3
199 days,8
200 days,8
201 days,5
202 days,10
203 days,6
204 days,2
205 days,15
206 days,7
207 days,11
208 days,4
209 days,4
210 days,5
211 days,7
212 days,8
213 days,10
214 days,11
215 days,5
216 days,6
217 days,5
218 days,2
219 days,5
220 days,3
221 days,6
222 days,4
223 days,5
224 days,6
225 days,3
226 days,2
227 days,1
229 days,5
230 days,6
231 days,6
232 days,2
233 days,4
234 days,3
235 days,4
237 days,2
238 days,8
239 days,4
240 days,2
241 days,2
242 days,5
243 days,3
244 days,3
245 days,1
246 days,1
247 days,2
248 days,6
249 days,3
250 days,2
251 days,2
252 days,2
253 days,6
254 days,1
255 days,1
256 days,2
257 days,4
258 days,2
259 days,2
260 days,1
261 days,1
262 days,2
263 days,1
264 days,1
265 days,3
266 days,2
267 days,1
268 days,1
271 days,1
272 days,1
273 days,3
274 days,2
275 days,1
277 days,1
279 days,2
280 days,3
281 days,1
284 days,3
286 days,1
288 days,1
290 days,1
291 days,1
293 days,1
294 days,1
295 days,1
296 days,1
300 days,1
305 days,1
310 days,1
314 days,1
315 days,1
321 days,1
329 days,1
330 days,1
331 days,1
335 days,1
338 days,1
349 days,3
350 days,1
360 days,1
379 days,1
384 days,1
393 days,1
403 days,1
